,end,id,start,text,catma_displaycolor,catma_markupauthor,catma_markuptimestamp,tag_type,tag_type_id,Art,Belegung,text_name,Primary_class,Secondary_class
58,15945,CATMA_8487BD5F-F722-4F45-904E-25478443DD0E,15816,"Es ist die Rede  von männerbündischen Atmosphären, die anfällig sind für die Verharmlosung von Sexismus  und Frauenfeindlichkeit ",-8819905,Mhuerten,2025-06-13T16:42:47.376+0200,Sprache/Gesten/Aufforderungen,CATMA_EDCD3519-38C9-49EA-B042-3CBB9835B96A,,,Essen,Tatbeschreibung,sexuell
59,16439,no_annotation_14,15945,"und auch davon, dass Ausbildungskandidaten im Gemeinde- oder Dia- konatsjahr mit Priestern konfrontiert sind, die kein Bewusstsein für eine grenzachtende Sprache  zu haben scheinen. Es geht also nicht nur darum, Schutzkonzepte für Seminarhäuser im enge- ren Sinne zu erarbeiten, sondern Ausbildungskandidaten für Machtstrukturen auch außerhalb  des Seminars zu sensibilisieren und ihnen wirksame Handlungsstrategien gegen sexualisierte  Grenzverletzungen und Übergriffigkeiten zur Verfügung zu ",,,,,,,,Essen,,
60,20290,no_annotation_15,16446,".  Auch wenn retrospektive Kausalschlüsse in diesem Feld anfechtbar sind, so ist an dieser Stelle  zu konstatieren, dass eine sich erst in jüngster Zeit etablierende systemische, geschlechterref- lektierte und machtkritische Auffassung von sexualisierter Gewalt im Kontext der Priesteraus- bildungen einen wichtigen Beitrag zur Verhinderung katastrophaler Fehlentwicklungen, wie sie  in den in dieser Studie vorgelegten Fallstudien analysiert wurden, geleistet hätte. Homosexualität Im Jahr 2016 veröffentlichte die römische Kongregation des Klerus ein allgemeines Ausführungs- dekret mit dem Titel „Das Geschenk der Berufung zum Priestertum“. Darin heißt es: „Hinsichtlich  der Personen mit homosexuellen Tendenzen, die in die Seminare eintreten oder die im Verlauf  der Ausbildung diese Veranlagung entdecken, [kann] die Kirche im Einklang mit Ihrem Lehramt  – bei aller Achtung der betroffenen Personen – jene nicht für das Priesteramt und zu den heili- gen Weihen zulassen […], die Homosexualität praktizieren, tiefsitzende homosexuelle Tendenzen  haben oder eine sogenannte „homosexuelle Kultur“ unterstützen. Die genannten Personen be- finden sich nämlich in einer Situation, die sie in schwerwiegender Weise daran hindert, korrekte  Beziehungen zu Männern und Frauen aufzubauen. Die negativen Folgen, die aus der Weihe von  Personen mit tiefsitzenden homosexuellen Tendenzen erwachsen können, sind nicht zu über- sehen25“. Weiter heißt es dort: „Falls es sich jedoch um homosexuelle Tendenzen handelt, die  bloß Ausdruck eines vorübergehenden Problems, wie etwa einer noch nicht abgeschlossenen  Adoleszenz sind, so müssen sie wenigstens drei Jahre vor der Diakonenweihe eindeutig über- wunden sein.“ Die Formulierung „bei aller Achtung der betroffenen Personen“ ist notwendig, weil sich die  traditionelle Haltung der katholischen Kirche gegenüber homosexuellen Menschen durchaus  nicht durch „Achtung“ auszeichnet. Exemplarisch sei hier auf die kirchenrechtliche Instruktion  25	 https://www.lsvd.de/de/ct/958-Vatikan-und-Papst-Katechismus-und-Position-der-roemisch-katholischen-Kirche-zu- Homosexualitaet#berufung-zum-priestertum 

#######################

Seite 309

309 Wieviel Selbstbefriedigung und Pornografie können auf dem Weg zur Priesterweihe akzeptiert  werden?  Offen bleibt auch die Frage, ob diejenigen Personen, die den jungen Männern Orientierungen  zur Sexualität vermitteln sollen, selbst über solche Orientierungen verfügen. Es ist anzunehmen,  dass der unzeitgemäße Dogmatismus der offiziellen katholischen Kirche von Rom über die Deut- sche Bischofskonferenz in die Priesterseminare der einzelnen Bistümer „durchgereicht“ wird,  wo realitätsverträgliche Positionen gefunden werden müssen. Diese Positionen sind immer mit  dem Stigma des Subversiven und Anrüchigen behaftet, da sie von der offiziellen Vorschrift der  „vollkommenen Enthaltsamkeit“ abweichen. Die kulturelle Hypothek der katholischen Homophobie wirkt sich ebenfalls massiv auf den  Umgang von Ausbildungsverantwortlichen mit Priesteramtskandidaten aus, zumal es von Rom  aus nach wie vor explizite Vorschriften in Bezug auf die Zulassung homosexueller, nicht aber  heterosexueller Priester gibt. In unseren Interviews werden sowohl glaubwürdige Beteuerungen,  hier „keinen Unterschied zu machen“ als auch symptomatische Vermischungen von Homosexu- alität und sexualisierter Gewalt geäußert.  In Bezug auf sexualisierte Gewalt entsteht dadurch ein gefährlicher Mangel an Differenzie- rung. Im Wust des Verbotenen und doch irgendwie Geduldeten ist zwar inzwischen auch in der  katholischen Kirche die Figur des pädophilen Priester(anwärter)s zu einer unbedingt rechtzeitig  zu identifizierenden persona non grata geworden, aber damit ist noch keine hinreichende Be- fassung mit den vielfältigen Erscheinungsformen sexualisierter Gewalt gewährleistet. ",,,,,,,,Essen,,
61,20294,E-6,20290,Dazu,-399266,Mhuerten,2025-06-13T16:43:36.383+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
62,20475,no_annotation_16,20294," passen einzelne Berichte über Fälle von sexualisierter Gewalt innerhalb von Priester- seminaren, die einerseits zu Ausschlüssen von Kandidaten führten, andererseits aber auch als  ",,,,,,,,Essen,,
63,20751,CATMA_083D1352-4F69-4441-8EB4-BDAF53F5FA89,20475,"sublimes „Rauschen“ sexualisierter Übergriffigkeit in solchen Seminaren wahrgenommen wer- den. Die Rede ist hier vor allem von sexualisierter Sprache, die sich im geschützten Soziotop des  Männerbundes besonders auch als frauenfeindlich und frauenverachtend manifestieren kann",-8773168,Mhuerten,2025-06-13T16:45:51.421+0200,moralische Verurteilung,CATMA_841CE011-ADA3-4952-B2D4-B5EB4D515CB0,,,Essen,Framing der Taten,
64,20751,CATMA_AAAFCD5E-EF64-46F1-AE5A-2C033300CC23,20475,"sublimes „Rauschen“ sexualisierter Übergriffigkeit in solchen Seminaren wahrgenommen wer- den. Die Rede ist hier vor allem von sexualisierter Sprache, die sich im geschützten Soziotop des  Männerbundes besonders auch als frauenfeindlich und frauenverachtend manifestieren kann",-8819905,Mhuerten,2025-06-13T16:44:03.837+0200,Sprache/Gesten/Aufforderungen,CATMA_EDCD3519-38C9-49EA-B042-3CBB9835B96A,,anzügliche Sprache,Essen,Tatbeschreibung,sexuell
65,23591,no_annotation_17,20751,".  9.9	 Empfehlungen zur Pristerausbildung Im September 2018 verfasste der für die Ausbildung der Priester des Bistums Essen zuständi- ge Regens des Seminars in Münster – als Reaktionen auf entsprechende Erkenntnisse aus der  MHG-Studie – ein Positionspapier mit Weiterentwicklungsmaßnahmen für die Priesterausbil- dung. Dieses Dokument wird im Folgenden wiedergegeben: A)	 Wir brauchen detaillierte und überprüfbare Standards für die Ausbildungsmodule zur  Förderung der menschlichen Reife und zur Auseinandersetzung der künftigen Priester mit  ihrer Sexualität, die im Blick auf Inhalte, zeitlichen Umfang und Terminierung im Ausbil- dungsverlauf verbindlich festgeschrieben werden.  	 Die MHG-Studie stellt eine Uneinheitlichkeit in der Priesterausbildung an den verschiede- nen Ausbildungsstandorten in Deutschland fest. Niemand wird bestreiten, dass wir uns alle  um eine bestmögliche Ausbildung bemühen wollen. Indem wir Transparenz und Vergleich- barkeit schaffen, können wir unsere Anstrengungen nach innen hin fokussieren und opti- mieren und nach außen besser kommunizieren.  

#######################

Seite 406

406 vor, zum einen durch Meldungen bei den Ansprechpersonen, zum anderen durch Kontaktauf- nahme von Betroffenen mit dem IPP. Die Zustände in den verschiedenen Einrichtungen, die  größtenteils heute nicht mehr existieren, sollten gesondert aufgearbeitet werden. Dies erfordert  je nach Einrichtung die Kooperation mit der Caritas, verschiedenen Orden oder anderen katholi- schen Trägern. Eine solche Aufarbeitung sollte Formen der Gedenkkultur entwickeln, um an das  Leid der ehemaligen Heimkinder angemessen zu erinnern.  Da die Aufarbeitung von sexualisierter Gewalt in pädagogischen Institutionen in erster Linie  auf die Mitarbeit von Betroffenen angewiesen ist, muss ein Klima geschaffen werden, in dem sich  Betroffene motiviert sehen, ihre Gewalterfahrungen dem Bistum mitzuteilen. Dies gilt ebenso  für ehemalige Mitarbeiter*innen und Angehörige von (damaligen) Heimbewohner*innen, die als  Zeitzeug*innen über Wissen im Zusammenhang mit sexualisierter Gewalt in den Einrichtungen  verfügen könnten.  Bei der Durchführung von Aufarbeitungsprojekten zu einzelnen Einrichtungen sind (damali- ge) Betroffene zu beteiligen. Hierbei können neben der Beteiligung an einem Beirat zusätzlich  auch noch andere Formen partizipativer Forschung realisiert werden. Aufgrund der Ergebnisse unserer Studie empfehlen wir eine vertiefende Aufarbeitungsstudie  zum Kinderheim St. Josef in Gelsenkirchen und ggf. zu weiteren pädagogischen Einrichtungen in  Absprache mit den Vorschlägen von Betroffenen. 12.8	 Weitere Empfehlungen In der bisherigen Diskussion zum Thema sexualisierte Gewalt in der katholischen Kirche findet  eine starke Fokussierung auf den Bereich der sexualisierten Gewalt gegenüber Minderjährigen  statt. ",,,,,,,,Essen,,
66,23600,E-7 ,23591,Betroffen,-399266,Mhuerten,2025-06-13T16:46:30.810+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
67,23604,no_annotation_18,23600, von,,,,,,,,Essen,,
68,23626,CATMA_1DF17867-6BAD-4C01-9E0D-51E25E543267,23604, sexualisierter Gewalt,-13101205,Mhuerten,2025-07-04T23:59:59.269+0200,nicht spezifizierte Taten,CATMA_B03D4763-9E0C-4E2D-9ACA-DD358DA82669,,,Essen,Tatbeschreibung,sexuell
69,23626,CATMA_035EF0CC-A318-4BE3-8D29-CA2F0BA91256,23605,sexualisierter Gewalt,-13239067,Mhuerten,2025-06-13T16:47:16.531+0200,Missbrauch,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,,,Essen,Framing der Taten,
70,23630,no_annotation_19,23626, und,,,,,,,,Essen,,
71,23652,CATMA_E965539E-11B6-4678-A78B-03056DD24236,23630, anderen Gewaltformen ,-15715508,Mhuerten,2025-06-13T16:47:47.650+0200,weitere Vorwürfe,CATMA_9D8A2C3C-FAFB-49B1-825B-C2911B55A40D,,,Essen,Tatbeschreibung,
72,23678,no_annotation_20,23652,sind und waren aber auch  ,,,,,,,,Essen,,
73,23688,CATMA_335BB4FE-926C-4E4A-8191-368801EA5D3B,23678,Erwachsene,-12849962,Mhuerten,2025-06-13T16:46:50.001+0200,unklar,CATMA_76B8CB6D-3A64-43A4-9962-48611A6D215E,,,Essen,Geschlecht (Betroffene),
74,23688,CATMA_B9A93016-CDE2-41AE-905C-3F26CC0016EB,23678,Erwachsene,-725551,Mhuerten,2025-06-13T16:46:56.229+0200,erwachsen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,,,Essen,Alter (Betroffene),
75,23706,no_annotation_21,23688,. Die Thematik der,,,,,,,,Essen,,
76,23728,CATMA_C0E4DA66-9CB3-4873-B172-B3EA52573093,23706, sexualisierten Gewalt,-13101205,Mhuerten,2025-07-05T00:00:15.958+0200,nicht spezifizierte Taten,CATMA_B03D4763-9E0C-4E2D-9ACA-DD358DA82669,,,Essen,Tatbeschreibung,sexuell
77,23743,no_annotation_22,23728, im Rahmen der ,,,,,,,,Essen,,
78,23763,CATMA_17AF2D29-DAFC-4FA5-AB6E-DBE567D30E79,23743,Erwachsenenseelsorge,-6034776,Mhuerten,2025-06-13T16:48:16.340+0200,Seelsorge,CATMA_4EC5F648-395E-489E-9731-F1CC3CDEE35A,,,Essen,Tatkonstellation,
79,24040,no_annotation_23,23763," soll- te nicht ausgeklammert werden. Sinnvoll wäre es, auch hierzu entsprechende Forschungsprojek- te auf dem Weg zu bringen. Darüber hinaus gilt es für den Bereich der (Erwachsenen-) Seelsorge  verbindliche ethische Leitlinien zu erarbeiten, die die Würde und Integrität der ",,,,,,,,Essen,,
80,24054,CATMA_71DDC8EC-5C1C-47FF-ABAC-E8E31573DADD,24040,Hilfesuchenden,-12849962,Mhuerten,2025-06-13T16:49:35.017+0200,unklar,CATMA_76B8CB6D-3A64-43A4-9962-48611A6D215E,,,Essen,Geschlecht (Betroffene),
81,24090,no_annotation_24,24054,"  achten, das Machtgefälle zwischen ",,,,,,,,Essen,,
82,24100,CATMA_4C55C65D-1EF5-46B8-9BAA-DAA3649545CB,24090,Seelsorger,-1029366,Mhuerten,2025-06-13T16:49:18.739+0200,k. A. zum Beschuldigten,CATMA_F446B7BD-5022-48BD-8C35-F97EBE267AE0,,,Essen,Beschuldigte,
83,24105,no_annotation_25,24100, und ,,,,,,,,Essen,,
84,24119,CATMA_B0A2A7F7-F5B0-4FC5-AC0A-EF277154B9D4,24105,Hilfesuchenden,-12849962,Mhuerten,2025-06-13T16:49:43.071+0200,unklar,CATMA_76B8CB6D-3A64-43A4-9962-48611A6D215E,,,Essen,Geschlecht (Betroffene),
85,24149,no_annotation_26,24119, klar reflektieren sowie die  ,,,,,,,,Essen,,
86,24229,CATMA_F2F9EB55-949C-4BF1-99F3-4DC5F4817D85,24149,Unvereinbarkeit von Seelsorge und sexuellen Beziehungen (auch unter Erwachsenen),-13239067,Mhuerten,2025-06-13T16:48:55.682+0200,Missbrauch,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,,,Essen,Framing der Taten,
87,24531,no_annotation_27,24229," deutlich  benennen. Eng verbunden mit sexualisierter Gewalt in der Erwachsenenseelsorge ist auch das Thema  geistlicher bzw. spiritueller Missbrauch. Hierauf sollte ein besonderes Augenmerk gelegt werden,  da sich in diesem Feld Klerikalismus und priesterliche Macht in besonderer Weise zum Ausdruck  ",,,,,,,,Essen,,
88,26549,no_annotation_28,24538,".  Die Thematik der sexualisierten Gewalt in der Erwachsenenseelsorge sollte entweder in das  Aufgabengebiet der bereits vorhandenen Ansprechpersonen für Verdachtsfälle sexualisierter Ge- walt integriert werden oder es müssten hierfür zusätzliche Ansprechpersonen eingesetzt werden. Auf die Ansprechpersonen für Verdachtsfälle sexualisierter Gewalt soll in regelmäßigen Ab- ständen in den Einrichtungen und Gemeinden des Bistums Essen aufmerksam gemacht werden.  Mitarbeitende des Bistums bzw. von Einrichtungen in katholischer Trägerschaft im Bistum Essen  

#######################

Seite 415

415 Die Priesterausbildung in Essen/Münster muss vor dem Hintergrund des existenzbedrohen- den Priestermangels in Deutschland betrachtet werden. Dieser führte zunächst zur Zusammen- legung entsprechender Ausbildungsinstitutionen und schließlich zur Auslagerung der Priester- ausbildung nach Münster. Ein mit dieser Entwicklung zusammenhängendes augenfälliges Risiko  besteht darin, dass man bei der Aufnahme neuer Ausbildungskandidaten nicht allzu wählerisch  sein könnte. Interessant ist, dass die entsprechende Eignungsprüfung im Laufe der Zeit immer  elaborierter wurde, obwohl es immer weniger Kandidaten gab. In Bezug auf die Auswahl von Ausbildungskandidaten (und somit späteren Priestern) sind  die Verantwortlichen gefordert, mögliche Sexualtäter rechtzeitig zu erkennen und entsprechend  „auszusortieren“. Hier erheben sich ernsthafte, diagnostische Machbarkeitsfragen, die eher mit  einer strukturbezogenen als einer individuumsbezogenen Prävention beantwortet werden kön- nen. Unsere Erhebungen legen nahe, dass Priesterseminare eigenwillige Sozialisationsmilieus bil- den, die das Risiko eines Entwicklungsmoratoriums für junge Männer in sich bergen, weil ihnen  dort wichtige alltagspraktische, soziale und emotionale Bewährungserfahrungen vorenthalten  werden. Der in der Priesterausbildung formulierte Anspruch auf menschliche Reifung kann da- her nur unter erschwerten Bedingungen vollzogen werden. ",,,,,,,,Essen,,
89,26563,E-8,26549,Symptomatisch ,-399266,Mhuerten,2025-06-13T16:52:20.527+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
90,26675,no_annotation_29,26563,"sind hier männer- bündische Formationen, die zur Reproduktion traditioneller Geschlechtsrollenbilder (inklusive ",,,,,,,,Essen,,
91,26717,CATMA_57AA2876-CE98-444B-BBA3-1959B2080897,26675, sexistischer Abwertungen gegenüber Frauen,-8819905,Mhuerten,2025-06-13T16:52:55.191+0200,Sprache/Gesten/Aufforderungen,CATMA_EDCD3519-38C9-49EA-B042-3CBB9835B96A,,anzügliche Sprache,Essen,Tatbeschreibung,sexuell
92,26717,CATMA_59E4D4D5-9D9C-4AD6-8C64-B43051E943DD,26676,sexistischer Abwertungen gegenüber Frauen,-8773168,Mhuerten,2025-06-13T16:53:41.819+0200,moralische Verurteilung,CATMA_841CE011-ADA3-4952-B2D4-B5EB4D515CB0,,,Essen,Framing der Taten,
93,26734,no_annotation_30,26717,) beitragen sowie,,,,,,,,Essen,,
94,26767,CATMA_600CF6D5-D881-4DBB-8299-7C454CA33FA3,26734, das Verüben von „Bubenstreichen“,-15715508,Mhuerten,2025-07-05T00:00:39.282+0200,weitere Vorwürfe,CATMA_9D8A2C3C-FAFB-49B1-825B-C2911B55A40D,,,Essen,Tatbeschreibung,
95,26786,no_annotation_31,26767,  als Ausdruck von ,,,,,,,,Essen,,
96,28589,no_annotation_32,26808,".  Es besteht das Risiko, dass die im Verlauf der Ausbildungssozialisation entstehenden alltags- praktischen, sozialen und emotionalen Defizite durch die Weihe zum Priester und die damit ver- bundene narzisstische Aufwertung überkompensiert werden. Die „Besonderung“ des Priesters  kann aufgrund des zuvor erlebten Vorenthaltens von Entwicklungspotenzialen dazu führen, dass  er die ihm verliehene Macht kompensatorisch missbraucht und zugleich nur unzureichend auf  die priesterliche Lebenssituation vorbereitet wurde.  Festzustellen ist eine nach wie vor bestehende Sprachverwirrung in Bezug auf die Konzepte „Se- xualität“, „Homosexualität“, „Zölibat“ und „sexualisierte Gewalt“. In dieser reproduziert sich die  oben erwähnte, kulturelle Hypothek, die darin besteht, dass die katholische Kirche eine idiosyn- kratische Bestimmung von erlaubter und unerlaubter Sexualität vornimmt, die im Widerspruch  zu gesellschaftlich längst etablierten Positionen steht. In den Interviews fällt die Verwendung  eines Narratives auf, wonach sich die katholische Kirche an dieser gesellschaftlichen Entwicklung  orientieren müsse – ohne zu sehen, dass es die katholische Kirche selbst war, die mit ihrer Se- xualmoral jahrhundertelang erhebliches menschliches Leid erzeugt hat und dass die erwähnte,  gesellschaftliche Bewegung nicht unwesentlich von dem Versuch motiviert ist, sich von diesem  Leid zu befreien.  Wenn nun in der Priesterausbildung mit erheblichem Aufwand versucht wird, junge Männer  mittels psychologischer und geistlicher Begleitung auf das zölibatäre Leben vorzubereiten, sollte  nicht vergessen werden, dass damit ein schwerwiegendes Problem gelöst werden soll, das sich  die katholische Kirche selbst geschaffen hat und das sie immer wieder aufs Neue reproduziert.  


",,,,,,,,Essen,,
